Antall datapunkter: 10201
X: -4.800, Y: 0.600, Z: 23.400, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 0.700, Z: 23.530, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 0.800, Z: 23.680, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 0.900, Z: 23.850, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 1.000, Z: 24.040, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 1.100, Z: 24.250, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 1.200, Z: 24.480, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 1.300, Z: 24.730, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 1.400, Z: 25.000, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 1.500, Z: 25.290, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 1.600, Z: 25.600, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 1.700, Z: 25.930, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 1.800, Z: 26.280, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 1.900, Z: 26.650, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 2.000, Z: 27.040, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 2.100, Z: 27.450, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 2.200, Z: 27.880, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 2.300, Z: 28.330, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 2.400, Z: 28.800, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 2.500, Z: 29.290, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 2.600, Z: 29.800, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 2.700, Z: 30.330, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 2.800, Z: 30.880, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 2.900, Z: 31.450, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 3.000, Z: 32.040, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 3.100, Z: 32.650, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 3.200, Z: 33.280, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 3.300, Z: 33.930, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 3.400, Z: 34.600, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 3.500, Z: 35.290, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 3.600, Z: 36.000, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 3.700, Z: 36.730, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 3.800, Z: 37.480, r: 1.000, g: 0.000, b: 0.000
